variable_name,value_type
183558_route,Categorical
183565_dose,Numeric
183565_route,Categorical
183569_dose,Numeric
183569_route,Categorical
183571_dose,Numeric
183571_route,Categorical
183576_dose,Numeric
183576_route,Categorical
183580_dose,Numeric
183580_route,Categorical
183586_dose,Numeric
183586_route,Categorical
183592_dose,Numeric
183592_route,Categorical
183598_dose,Numeric
183598_route,Categorical
183599_dose,Numeric
183599_route,Categorical
183607_dose,Numeric
183607_route,Categorical
183612_dose,Numeric
183612_route,Categorical
183619_dose,Numeric
183619_route,Categorical
183620_dose,Numeric
183620_route,Categorical
183626_dose,Numeric
183626_route,Categorical
183629_dose,Numeric
183629_route,Categorical
183630_dose,Numeric
183630_route,Categorical
183634_dose,Numeric
183634_route,Categorical
183636_dose,Numeric
183636_route,Categorical
183638_dose,Numeric
183638_route,Categorical
183648_dose,Numeric
183648_route,Categorical
183650_dose,Numeric
183650_route,Categorical
183657_dose,Numeric
183657_route,Categorical
183664_dose,Numeric
183664_route,Categorical
183667_dose,Numeric
183667_route,Categorical
183670_dose,Numeric
183670_route,Categorical
183674_dose,Numeric
183674_route,Categorical
183676_dose,Numeric
183676_route,Categorical
183678_dose,Numeric
183678_route,Categorical
183679_dose,Numeric
183679_route,Categorical
183684_dose,Numeric
183684_route,Categorical
183690_dose,Numeric
183690_route,Categorical
183698_dose,Numeric
183698_route,Categorical
183700_dose,Numeric
183700_route,Categorical
183701_dose,Numeric
183701_route,Categorical
183703_dose,Numeric
183703_route,Categorical
183706_dose,Numeric
183706_route,Categorical
183711_dose,Numeric
183711_route,Categorical
183714_dose,Numeric
183714_route,Categorical
183718_dose,Numeric
183718_route,Categorical
183722_dose,Numeric
183722_route,Categorical
183729_dose,Numeric
183729_route,Categorical
183740_dose,Numeric
183740_route,Categorical
183741_dose,Numeric
183741_route,Categorical
183745_dose,Numeric
183745_route,Categorical
183747_dose,Numeric
183747_route,Categorical
183750_dose,Numeric
183750_route,Categorical
183760_dose,Numeric
183760_route,Categorical
183763_dose,Numeric
183763_route,Categorical
183764_dose,Numeric
183764_route,Categorical
183766_dose,Numeric
183766_route,Categorical
183768_dose,Numeric
183768_route,Categorical
183769_dose,Numeric
183769_route,Categorical
183774_dose,Numeric
183774_route,Categorical
183781_dose,Numeric
183781_route,Categorical
183784_dose,Numeric
183784_route,Categorical
183792_dose,Numeric
183792_route,Categorical
183797_dose,Numeric
183797_route,Categorical
183798_dose,Numeric
183798_route,Categorical
183799_dose,Numeric
183799_route,Categorical
183802_dose,Numeric
183802_route,Categorical
183808_dose,Numeric
183808_route,Categorical
183810_dose,Numeric
183810_route,Categorical
183811_dose,Numeric
183811_route,Categorical
183815_dose,Numeric
183815_route,Categorical
183818_dose,Numeric
183818_route,Categorical
183823_dose,Numeric
183823_route,Categorical
183830_dose,Numeric
183830_route,Categorical
183831_dose,Numeric
183831_route,Categorical
183833_dose,Numeric
183833_route,Categorical
183847_dose,Numeric
183847_route,Categorical
183851_dose,Numeric
183851_route,Categorical
183855_dose,Numeric
183855_route,Categorical
183867_dose,Numeric
183867_route,Categorical
183871_dose,Numeric
183871_route,Categorical
183884_dose,Numeric
183884_route,Categorical
183892_dose,Numeric
183892_route,Categorical
183895_dose,Numeric
183895_route,Categorical
183899_dose,Numeric
183899_route,Categorical
183900_dose,Numeric
183900_route,Categorical
183904_dose,Numeric
183904_route,Categorical
183906_dose,Numeric
183906_route,Categorical
183909_dose,Numeric
183909_route,Categorical
183910_dose,Numeric
183910_route,Categorical
183911_dose,Numeric
183911_route,Categorical
183914_dose,Numeric
183914_route,Categorical
183919_dose,Numeric
183919_route,Categorical
183921_dose,Numeric
183921_route,Categorical
183924_dose,Numeric
183924_route,Categorical
183934_dose,Numeric
183934_route,Categorical
183937_dose,Numeric
183937_route,Categorical
183943_dose,Numeric
183943_route,Categorical
183944_dose,Numeric
183944_route,Categorical
183947_dose,Numeric
183947_route,Categorical
183958_dose,Numeric
183958_route,Categorical
183966_dose,Numeric
183966_route,Categorical
183990_dose,Numeric
183990_route,Categorical
183991_dose,Numeric
183991_route,Categorical
184004_dose,Numeric
184004_route,Categorical
184005_dose,Numeric
184005_route,Categorical
184006_dose,Numeric
184006_route,Categorical
184007_dose,Numeric
184007_route,Categorical
184008_dose,Numeric
184008_route,Categorical
184012_dose,Numeric
184012_route,Categorical
184014_dose,Numeric
184014_route,Categorical
184016_dose,Numeric
184016_route,Categorical
184019_dose,Numeric
184019_route,Categorical
184021_dose,Numeric
184021_route,Categorical
184026_dose,Numeric
184026_route,Categorical
184030_dose,Numeric
184030_route,Categorical
184043_dose,Numeric
184043_route,Categorical
184053_dose,Numeric
184053_route,Categorical
184055_dose,Numeric
184055_route,Categorical
184057_dose,Numeric
184057_route,Categorical
184069_dose,Numeric
184069_route,Categorical
184073_dose,Numeric
184073_route,Categorical
184075_dose,Numeric
184075_route,Categorical
184076_dose,Numeric
184076_route,Categorical
184077_dose,Numeric
184077_route,Categorical
184083_dose,Numeric
184083_route,Categorical
184088_dose,Numeric
184088_route,Categorical
184089_dose,Numeric
184089_route,Categorical
184092_dose,Numeric
184092_route,Categorical
184094_dose,Numeric
184094_route,Categorical
184111_dose,Numeric
184111_route,Categorical
184113_dose,Numeric
184113_route,Categorical
